GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,SpaceTaken,PathLength,PathCost,CorridorIterations
10,10,33.000,50.000,75.000,GBFS,14.957,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,60.398,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,18.471,-12288.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,251.392,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,15.873,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,61.970,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,18.929,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,247.242,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,15.427,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,61.298,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,18.784,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,250.500,-12288.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,15.354,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,60.616,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,18.757,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,248.844,12288.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,15.709,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,60.726,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,18.784,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,251.102,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,15.793,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,61.718,0.000,12,121.000,1
